model_name,accuracy,precision_macro,recall_macro,f1_macro,cv_folds
svm,0.9666666666666668,0.9703703703703702,0.9666666666666668,0.9665359477124185,5.0
logistic_regression,0.9583333333333334,0.9644444444444444,0.9583333333333334,0.9579707438530969,5.0
knn,0.9583333333333334,0.9644444444444444,0.9583333333333334,0.9579707438530969,5.0
decision_tree,0.95,0.9570370370370369,0.95,0.9496047307812013,5.0
random_forest,0.95,0.9585185185185183,0.95,0.9494055399937753,5.0
gradient_boosting,0.95,0.9585185185185183,0.95,0.9494055399937753,5.0
